symbol,exchange,datetime,open,high,low,close,volume,turnover,open_interest
510030,SSE,2025-07-08 09:30:00,0.0,1.101,1.101,1.101,39.0,4294.0,0.0
510030,SSE,2025-07-08 09:31:00,0.0,1.101,1.097,1.101,533.0,58614.0,0.0
510030,SSE,2025-07-08 09:32:00,0.0,1.104,1.101,1.102,385.0,42427.0,0.0
510030,SSE,2025-07-08 09:33:00,0.0,1.104,1.102,1.104,134.0,14794.0,0.0
510030,SSE,2025-07-08 09:34:00,0.0,1.106,1.104,1.104,301.0,33231.0,0.0
510030,SSE,2025-07-08 09:35:00,0.0,1.104,1.104,1.104,0.0,0.0,0.0
510030,SSE,2025-07-08 09:36:00,0.0,1.104,1.104,1.104,165.0,18216.0,0.0
510030,SSE,2025-07-08 09:37:00,0.0,1.104,1.104,1.104,0.0,0.0,0.0
510030,SSE,2025-07-08 09:38:00,0.0,1.104,1.103,1.103,2.0,220.0,0.0
510030,SSE,2025-07-08 09:39:00,0.0,1.103,1.103,1.103,100.0,11030.0,0.0
510030,SSE,2025-07-08 09:40:00,0.0,1.103,1.103,1.103,0.0,0.0,0.0
510030,SSE,2025-07-08 09:41:00,0.0,1.103,1.103,1.103,0.0,0.0,0.0
510030,SSE,2025-07-08 09:42:00,0.0,1.103,1.101,1.101,145.0,15965.0,0.0
510030,SSE,2025-07-08 09:43:00,0.0,1.101,1.1,1.1,431.0,47410.0,0.0
510030,SSE,2025-07-08 09:44:00,0.0,1.1,1.099,1.099,164.0,18023.0,0.0
510030,SSE,2025-07-08 09:45:00,0.0,1.1,1.099,1.1,40.0,4400.0,0.0
510030,SSE,2025-07-08 09:46:00,0.0,1.1,1.1,1.1,1.0,110.0,0.0
510030,SSE,2025-07-08 09:47:00,0.0,1.1,1.098,1.098,251.0,27566.0,0.0
510030,SSE,2025-07-08 09:48:00,0.0,1.098,1.098,1.098,0.0,0.0,0.0
510030,SSE,2025-07-08 09:49:00,0.0,1.098,1.098,1.098,0.0,0.0,0.0
510030,SSE,2025-07-08 09:50:00,0.0,1.098,1.098,1.098,0.0,0.0,0.0
510030,SSE,2025-07-08 09:51:00,0.0,1.098,1.098,1.098,30.0,3294.0,0.0
510030,SSE,2025-07-08 09:52:00,0.0,1.098,1.097,1.097,472.0,51778.0,0.0
510030,SSE,2025-07-08 09:53:00,0.0,1.099,1.097,1.099,331.0,36377.0,0.0
510030,SSE,2025-07-08 09:54:00,0.0,1.099,1.099,1.099,0.0,0.0,0.0
510030,SSE,2025-07-08 09:55:00,0.0,1.1,1.099,1.1,100.0,11000.0,0.0
510030,SSE,2025-07-08 09:56:00,0.0,1.1,1.1,1.1,400.0,44000.0,0.0
510030,SSE,2025-07-08 09:57:00,0.0,1.1,1.1,1.1,0.0,0.0,0.0
510030,SSE,2025-07-08 09:58:00,0.0,1.1,1.1,1.1,0.0,0.0,0.0
510030,SSE,2025-07-08 09:59:00,0.0,1.102,1.1,1.102,28.0,3086.0,0.0
510030,SSE,2025-07-08 10:00:00,0.0,1.102,1.102,1.102,0.0,0.0,0.0
510030,SSE,2025-07-08 10:01:00,0.0,1.102,1.1,1.1,551.0,60610.0,0.0
510030,SSE,2025-07-08 10:02:00,0.0,1.1,1.1,1.1,45.0,4950.0,0.0
510030,SSE,2025-07-08 10:03:00,0.0,1.1,1.098,1.099,132.0,14506.0,0.0
510030,SSE,2025-07-08 10:04:00,0.0,1.099,1.099,1.099,357.0,39234.0,0.0
510030,SSE,2025-07-08 10:05:00,0.0,1.099,1.099,1.099,0.0,0.0,0.0
510030,SSE,2025-07-08 10:06:00,0.0,1.099,1.099,1.099,0.0,0.0,0.0
510030,SSE,2025-07-08 10:07:00,0.0,1.101,1.099,1.101,12.0,1321.0,0.0
510030,SSE,2025-07-08 10:08:00,0.0,1.101,1.101,1.101,0.0,0.0,0.0
510030,SSE,2025-07-08 10:09:00,0.0,1.101,1.101,1.101,0.0,0.0,0.0
510030,SSE,2025-07-08 10:10:00,0.0,1.101,1.101,1.101,0.0,0.0,0.0
510030,SSE,2025-07-08 10:11:00,0.0,1.101,1.101,1.101,55.0,6056.0,0.0
510030,SSE,2025-07-08 10:12:00,0.0,1.101,1.101,1.101,0.0,0.0,0.0
510030,SSE,2025-07-08 10:13:00,0.0,1.101,1.1,1.1,10.0,1100.0,0.0
510030,SSE,2025-07-08 10:14:00,0.0,1.1,1.1,1.1,0.0,0.0,0.0
510030,SSE,2025-07-08 10:15:00,0.0,1.1,1.1,1.1,0.0,0.0,0.0
510030,SSE,2025-07-08 10:16:00,0.0,1.1,1.1,1.1,0.0,0.0,0.0
510030,SSE,2025-07-08 10:17:00,0.0,1.1,1.1,1.1,0.0,0.0,0.0
510030,SSE,2025-07-08 10:18:00,0.0,1.1,1.1,1.1,0.0,0.0,0.0
510030,SSE,2025-07-08 10:19:00,0.0,1.1,1.1,1.1,0.0,0.0,0.0
510030,SSE,2025-07-08 10:20:00,0.0,1.1,1.1,1.1,427.0,46970.0,0.0
510030,SSE,2025-07-08 10:21:00,0.0,1.101,1.1,1.1,184.0,20250.0,0.0
510030,SSE,2025-07-08 10:22:00,0.0,1.101,1.1,1.101,150.0,16515.0,0.0
510030,SSE,2025-07-08 10:23:00,0.0,1.101,1.1,1.1,24.0,2640.0,0.0
510030,SSE,2025-07-08 10:24:00,0.0,1.1,1.1,1.1,0.0,0.0,0.0
510030,SSE,2025-07-08 10:25:00,0.0,1.1,1.1,1.1,302.0,33220.0,0.0
510030,SSE,2025-07-08 10:26:00,0.0,1.1,1.1,1.1,0.0,0.0,0.0
510030,SSE,2025-07-08 10:27:00,0.0,1.1,1.1,1.1,0.0,0.0,0.0
510030,SSE,2025-07-08 10:28:00,0.0,1.1,1.1,1.1,0.0,0.0,0.0
510030,SSE,2025-07-08 10:29:00,0.0,1.1,1.1,1.1,0.0,0.0,0.0
510030,SSE,2025-07-08 10:30:00,0.0,1.1,1.1,1.1,0.0,0.0,0.0
510030,SSE,2025-07-08 10:31:00,0.0,1.1,1.1,1.1,33.0,3630.0,0.0
510030,SSE,2025-07-08 10:32:00,0.0,1.1,1.1,1.1,0.0,0.0,0.0
510030,SSE,2025-07-08 10:33:00,0.0,1.1,1.1,1.1,291.0,32010.0,0.0
510030,SSE,2025-07-08 10:34:00,0.0,1.1,1.1,1.1,0.0,0.0,0.0
510030,SSE,2025-07-08 10:35:00,0.0,1.1,1.1,1.1,0.0,0.0,0.0
510030,SSE,2025-07-08 10:36:00,0.0,1.1,1.1,1.1,0.0,0.0,0.0
510030,SSE,2025-07-08 10:37:00,0.0,1.1,1.1,1.1,0.0,0.0,0.0
510030,SSE,2025-07-08 10:38:00,0.0,1.1,1.1,1.1,0.0,0.0,0.0
510030,SSE,2025-07-08 10:39:00,0.0,1.1,1.1,1.1,0.0,0.0,0.0
510030,SSE,2025-07-08 10:40:00,0.0,1.1,1.099,1.099,5.0,549.0,0.0
510030,SSE,2025-07-08 10:41:00,0.0,1.099,1.099,1.099,0.0,0.0,0.0
510030,SSE,2025-07-08 10:42:00,0.0,1.099,1.098,1.098,391.0,42932.0,0.0
510030,SSE,2025-07-08 10:43:00,0.0,1.098,1.098,1.098,0.0,0.0,0.0
510030,SSE,2025-07-08 10:44:00,0.0,1.098,1.098,1.098,0.0,0.0,0.0
510030,SSE,2025-07-08 10:45:00,0.0,1.098,1.098,1.098,80.0,8784.0,0.0
510030,SSE,2025-07-08 10:46:00,0.0,1.098,1.098,1.098,0.0,0.0,0.0
510030,SSE,2025-07-08 10:47:00,0.0,1.098,1.098,1.098,0.0,0.0,0.0
510030,SSE,2025-07-08 10:48:00,0.0,1.098,1.098,1.098,0.0,0.0,0.0
510030,SSE,2025-07-08 10:49:00,0.0,1.098,1.098,1.098,0.0,0.0,0.0
510030,SSE,2025-07-08 10:50:00,0.0,1.098,1.098,1.098,0.0,0.0,0.0
